n,b_mtp_only,c_base_only,statistic,p_value,risk_difference,odds_ratio,victim,baseline,q_value_bh,sig_0.05
20,2,6,2.0,0.2890625,-0.2,0.3333333333333333,gpt-3.5,direct,0.49553571428571425,False
20,2,7,2.0,0.1796875,-0.25,0.2857142857142857,gpt-3.5,paps,0.49553571428571425,False
20,2,5,2.0,0.453125,-0.14999999999999997,0.4,gpt-3.5,pair,0.6770833333333334,False
20,6,0,0.0,0.03125,0.3,inf,gpt-4o,direct,0.375,False
20,6,1,1.0,0.125,0.24999999999999997,6.0,gpt-4o,paps,0.49553571428571425,False
20,2,6,2.0,0.2890625,-0.20000000000000007,0.3333333333333333,gpt-4o,pair,0.49553571428571425,False
20,1,0,0.0,1.0,0.05,inf,claude,direct,1.0,False
20,1,0,0.0,1.0,0.05,inf,claude,paps,1.0,False
20,1,1,1.0,1.0,0.0,1.0,claude,pair,1.0,False
20,6,1,1.0,0.125,0.25,6.0,deepseek,direct,0.49553571428571425,False
20,6,2,2.0,0.2890625,0.2,3.0,deepseek,paps,0.49553571428571425,False
20,6,3,3.0,0.5078125,0.15000000000000002,2.0,deepseek,pair,0.6770833333333334,False
